macro,type,size,file,line
MDIOCDETACH,struct md_ioctl,436,12.1src/sys/sys/mdioctl.h,82
MDIOCLIST,struct md_ioctl,436,12.1src/sys/sys/mdioctl.h,84
MDIOCQUERY,struct md_ioctl,436,12.1src/sys/sys/mdioctl.h,83
MDIOCRESIZE,struct md_ioctl,436,12.1src/sys/sys/mdioctl.h,85
FD_FORM,struct fd_formb,164,12.1src/sys/sys/fdcio.h,129
FD_GDTYPE,enum fd_drivetype,4,12.1src/sys/sys/fdcio.h,146
FD_GOPTS,int,4,12.1src/sys/sys/fdcio.h,133
FD_GSTAT,struct fdc_status,28,12.1src/sys/sys/fdcio.h,144
FD_GTYPE,struct fd_type,48,12.1src/sys/sys/fdcio.h,130
FD_READID,struct fdc_readid,4,12.1src/sys/sys/fdcio.h,138
FD_SOPTS,int,4,12.1src/sys/sys/fdcio.h,134
FD_STYPE,struct fd_type,48,12.1src/sys/sys/fdcio.h,131
ALT_READ_TG_MEM,struct tg_mem,12,12.1src/sys/sys/tiio.h,330
ALT_READ_TG_REG,struct tg_reg,8,12.1src/sys/sys/tiio.h,332
ALT_WRITE_TG_MEM,struct tg_mem,12,12.1src/sys/sys/tiio.h,331
ALT_WRITE_TG_REG,struct tg_reg,8,12.1src/sys/sys/tiio.h,333
TIIOCGETPARAMS,struct ti_params,28,12.1src/sys/sys/tiio.h,320
TIIOCGETSTATS,struct ti_stats,1024,12.1src/sys/sys/tiio.h,319
TIIOCGETTRACE,struct ti_trace_buf,16,12.1src/sys/sys/tiio.h,323
TIIOCSETPARAMS,struct ti_params,28,12.1src/sys/sys/tiio.h,321
TIIOCSETTRACE,ti_trace_type,4,12.1src/sys/sys/tiio.h,322
CDRIOCBLANK,int,4,12.1src/sys/sys/cdrio.h,121
CDRIOCFIXATE,int,4,12.1src/sys/sys/cdrio.h,131
CDRIOCFORMAT,struct cdr_format_params,12,12.1src/sys/sys/cdrio.h,139
CDRIOCGETBLOCKSIZE,int,4,12.1src/sys/sys/cdrio.h,135
CDRIOCGETPROGRESS,int,4,12.1src/sys/sys/cdrio.h,137
CDRIOCINITTRACK,struct cdr_track,12,12.1src/sys/sys/cdrio.h,128
CDRIOCINITWRITER,int,4,12.1src/sys/sys/cdrio.h,127
CDRIOCNEXTWRITEABLEADDR,int,4,12.1src/sys/sys/cdrio.h,126
CDRIOCREADFORMATCAPS,struct cdr_format_capacities,268,12.1src/sys/sys/cdrio.h,138
CDRIOCREADSPEED,int,4,12.1src/sys/sys/cdrio.h,132
CDRIOCSENDCUE,struct cdr_cuesheet,20,12.1src/sys/sys/cdrio.h,129
CDRIOCSETBLOCKSIZE,int,4,12.1src/sys/sys/cdrio.h,136
CDRIOCWRITESPEED,int,4,12.1src/sys/sys/cdrio.h,133
DIOCGATTR,struct diocgattr_arg,324,12.1src/sys/sys/disk.h,142
