macro,file,line,type,size_i386,size_amd64
VIDIOC_S_EXT_CTRLS,sys/contrib/v4l/videodev2.h,1725,struct v4l2_ext_controls,24,32
VIDIOC_S_FBUF,sys/contrib/v4l/videodev2.h,1680,struct v4l2_framebuffer,44,48
VIDIOC_S_FMT,sys/contrib/v4l/videodev2.h,1676,struct v4l2_format,204,208
VIDIOC_S_FREQUENCY,sys/contrib/v4l/videodev2.h,1710,struct v4l2_frequency,44,44
VIDIOC_S_HW_FREQ_SEEK,sys/contrib/v4l/videodev2.h,1747,struct v4l2_hw_freq_seek,48,48
VIDIOC_S_INPUT,sys/contrib/v4l/videodev2.h,1701,int,4,4
VIDIOC_S_JPEGCOMP,sys/contrib/v4l/videodev2.h,1715,struct v4l2_jpegcompression,140,140
VIDIOC_S_MODULATOR,sys/contrib/v4l/videodev2.h,1708,struct v4l2_modulator,68,68
VIDIOC_S_OUTPUT,sys/contrib/v4l/videodev2.h,1703,int,4,4
VIDIOC_S_PARM,sys/contrib/v4l/videodev2.h,1687,struct v4l2_streamparm,204,204
VIDIOC_S_PARM_OLD,sys/contrib/v4l/videodev2.h,1761,struct v4l2_streamparm,204,204
VIDIOC_S_PRIORITY,sys/contrib/v4l/videodev2.h,1721,enum v4l2_priority,4,4
VIDIOC_S_STD,sys/contrib/v4l/videodev2.h,1689,v4l2_std_id,8,8
VIDIOC_S_TUNER,sys/contrib/v4l/videodev2.h,1695,struct v4l2_tuner,84,84
VIDIOC_TRY_ENCODER_CMD,sys/contrib/v4l/videodev2.h,1732,struct v4l2_encoder_cmd,40,40
VIDIOC_TRY_EXT_CTRLS,sys/contrib/v4l/videodev2.h,1726,struct v4l2_ext_controls,24,32
VIDIOC_TRY_FMT,sys/contrib/v4l/videodev2.h,1717,struct v4l2_format,204,208
AUTOFSDONE,sys/fs/autofs/autofs_ioctl.h,116,struct autofs_daemon_done,40,40
AUTOFSDONE101,sys/fs/autofs/autofs_ioctl.h,115,struct autofs_daemon_done_101,8,8
AUTOFSREQUEST,sys/fs/autofs/autofs_ioctl.h,114,struct autofs_daemon_request,5124,5124
NANDFS_IOCTL_CHANGE_CPMODE,sys/fs/nandfs/nandfs_fs.h,555,struct nandfs_cpmode,16,16
NANDFS_IOCTL_DELETE_CP,sys/fs/nandfs/nandfs_fs.h,557,uint64_t [ 2 ],16,16
NANDFS_IOCTL_DELETE_SNAP,sys/fs/nandfs/nandfs_fs.h,564,uint64_t,8,8
NANDFS_IOCTL_GET_BDESCS,sys/fs/nandfs/nandfs_fs.h,561,struct nandfs_argv,24,24
NANDFS_IOCTL_GET_CPINFO,sys/fs/nandfs/nandfs_fs.h,556,struct nandfs_argv,24,24
NANDFS_IOCTL_GET_CPSTAT,sys/fs/nandfs/nandfs_fs.h,558,struct nandfs_cpstat,24,24
NANDFS_IOCTL_GET_FSINFO,sys/fs/nandfs/nandfs_fs.h,562,struct nandfs_fsinfo,1792,1792
NANDFS_IOCTL_GET_SUINFO,sys/fs/nandfs/nandfs_fs.h,559,struct nandfs_argv,24,24
NANDFS_IOCTL_GET_SUSTAT,sys/fs/nandfs/nandfs_fs.h,554,struct nandfs_seg_stat,48,48
NANDFS_IOCTL_GET_VINFO,sys/fs/nandfs/nandfs_fs.h,560,struct nandfs_argv,24,24
NANDFS_IOCTL_MAKE_SNAP,sys/fs/nandfs/nandfs_fs.h,563,uint64_t,8,8
NANDFS_IOCTL_SYNC,sys/fs/nandfs/nandfs_fs.h,565,uint64_t,8,8
CUSE_IOCTL_ALLOC_MEMORY,sys/fs/cuse/cuse_ioctl.h,78,struct cuse_alloc_info,8,16
CUSE_IOCTL_ALLOC_UNIT,sys/fs/cuse/cuse_ioctl.h,83,int,4,4
CUSE_IOCTL_ALLOC_UNIT_BY_ID,sys/fs/cuse/cuse_ioctl.h,86,int,4,4
CUSE_IOCTL_CREATE_DEV,sys/fs/cuse/cuse_ioctl.h,81,struct cuse_create_dev,96,104
CUSE_IOCTL_DESTROY_DEV,sys/fs/cuse/cuse_ioctl.h,82,struct cuse_dev *,4,8
CUSE_IOCTL_FREE_MEMORY,sys/fs/cuse/cuse_ioctl.h,79,struct cuse_alloc_info,8,16
CUSE_IOCTL_FREE_UNIT,sys/fs/cuse/cuse_ioctl.h,84,int,4,4
CUSE_IOCTL_FREE_UNIT_BY_ID,sys/fs/cuse/cuse_ioctl.h,87,int,4,4
CUSE_IOCTL_GET_COMMAND,sys/fs/cuse/cuse_ioctl.h,73,struct cuse_command,24,48
CUSE_IOCTL_GET_SIG,sys/fs/cuse/cuse_ioctl.h,77,int,4,4
CUSE_IOCTL_READ_DATA,sys/fs/cuse/cuse_ioctl.h,75,struct cuse_data_chunk,12,24
CUSE_IOCTL_SELWAKEUP,sys/fs/cuse/cuse_ioctl.h,85,int,4,4
CUSE_IOCTL_SET_PFH,sys/fs/cuse/cuse_ioctl.h,80,uintptr_t,4,8
CUSE_IOCTL_SYNC_COMMAND,sys/fs/cuse/cuse_ioctl.h,76,int,4,4
CUSE_IOCTL_WRITE_DATA,sys/fs/cuse/cuse_ioctl.h,74,struct cuse_data_chunk,12,24
DEVFSIO_RADD,sys/fs/devfs/devfs.h,109,struct devfs_rule,236,236
DEVFSIO_RAPPLY,sys/fs/devfs/devfs.h,111,struct devfs_rule,236,236
DEVFSIO_RAPPLYID,sys/fs/devfs/devfs.h,112,devfs_rid,4,4
DEVFSIO_RDEL,sys/fs/devfs/devfs.h,110,devfs_rid,4,4
DEVFSIO_RGETNEXT,sys/fs/devfs/devfs.h,113,struct devfs_rule,236,236
DEVFSIO_SAPPLY,sys/fs/devfs/devfs.h,116,devfs_rsnum,2,2
DEVFSIO_SGETNEXT,sys/fs/devfs/devfs.h,117,devfs_rsnum,2,2
DEVFSIO_SUSE,sys/fs/devfs/devfs.h,115,devfs_rsnum,2,2
NIOCCTRL,sys/net/netmap.h,629,struct nmreq_header,88,88
SIOCGLAGG,sys/net/if_lagg.h,127,struct lagg_reqall,64,80
SIOCGLAGGFLAGS,sys/net/if_lagg.h,135,struct lagg_reqflags,20,20
SIOCGLAGGOPTS,sys/net/if_lagg.h,158,struct lagg_reqopts,40,40
SIOCGLAGGPORT,sys/net/if_lagg.h,109,struct lagg_reqport,72,72
SIOCSLAGG,sys/net/if_lagg.h,128,struct lagg_reqall,64,80
SIOCSLAGGDELPORT,sys/net/if_lagg.h,111,struct lagg_reqport,72,72
